file_type,proj_count,total_count
stamp,50,581
tx,50,274
res,50,929
fai,50,138
makefile,49,134
policy,49,125
nblink,49,625
m4a,49,178
10,49,349
v,49,11524
vsdx,49,112
pbix,49,153
ls,49,224
sketch,48,60
adoc,48,714
bam,48,271
subwords,48,88
len,48,1253
pi-python3,48,50
asmdef,48,917
puml,47,216
exc,47,233
gypi,47,92
adj,47,234
files,47,75
nn,47,1266
types,47,87
kv,47,325
sublime-project,47,49
download,46,2190
aa,46,65
aar,46,202
dia,46,568
verb,46,101
demo,46,762
priv,45,605
entry,45,71
mkv,45,62
devel,45,45
owl,45,1398
main,45,79
default,45,99
qpj,45,895
label,45,435
graffle,45,159
glade,45,87
tree,44,144
dvi,44,53
keystore,44,61
adv,44,95
ab,44,60
deb,44,135
noun,44,92
me,44,94
rdf,44,1283
ad,44,64
terms,44,97
hxx,44,3026
cxxlist,44,73
sense,44,48
tokens,43,521
input,43,287
pde,43,661
controller,43,228
pbs,43,286
inp,43,495
examples,43,2036
traits,43,69
assets,43,316
msgpack,43,638
hdr,43,248
styl,43,363
expression,43,69
evaluator,43,69
pcap,42,26649
tst,42,3092
stan,42,1509
dcf,42,133
mak,41,477
frag,41,200
hex,41,584
psf,41,95
trn,41,74
rendertexture,41,136
training,41,53
ref,41,2358
12,41,246
fastq,41,250
py__,40,44
repo,40,67
opt,40,287
allx,40,174
browser,40,305
ml,40,11190
mb,40,171
clj,40,263
ress,40,159
lite,40,52
rng,40,269
dsp,40,427
job,40,452
flags,39,123
bai,39,114
dill,39,272
dir,39,135
system,39,200
rev,39,44
lay,39,927
robot,39,71
gemspec,39,281
pig,39,68
anim,39,318
tp,39,232
vim,39,233
history,38,877
dotsettings,38,51
jsm,38,268
asv,38,189
hdf,38,100
h5ad,38,102
hlo,38,576
devel-gpu,38,38
http,38,184
avro,38,159
dsw,38,148
td,38,1274
csl,38,107
mtx,37,176
gml,37,16197
gexf,37,262
flac,37,498
vtk,37,7810
resc,37,103
g,37,2206
neg,37,50
swig,37,91
clif,37,94
mwb,37,67
zsh,36,134
xslt,36,76
ae,36,55
smi,36,541
aidl,36,59
11,36,237
virtualenv,36,379
vert,36,205
ipp,36,3568
lot,36,39
hlsl,36,435
nb,36,122
pump,36,233
rst_t,36,95
lof,36,41
qml,36,5098
csr,36,76
pckl,36,408
status,35,77
chm,35,73
hwp,35,940
msi,35,126
nupkg,35,580
lisp,35,527
cert,35,47
dep,35,104
init,34,65
iss,34,51
mlir,34,7676
aj,34,49
orc,34,155
hd5,34,356
prm,34,130
fs,34,322
mbox,34,42
sv,34,390
rocm,34,36
linux,34,79
ppc64le,34,94
ap_,34,48
cbp,34,183
bson,34,185
srt,34,2527
ty,33,171
vbs,33,73
lastbuildstate,33,178
fp,33,194
snippet,33,94
install,33,628
snk,33,57
gnu,33,97
pyz,33,49
af,33,48
mlx,33,118
idf,33,541
riscv,33,34
tlog,33,1668
devel-mkl,33,35
off,32,3903
vp,32,64
suo,32,67
tplx,32,219
micro,32,34
ah,32,46
ag,32,47
mli,32,215
tulsigen,32,90
inf,32,559
ally,32,148
cshtml,32,1636
mdx,32,1065
flat,32,12721
subr,32,34
tulsiconf,32,93
ftl,32,267
ttc,32,140
compute,32,340
mapping,32,64
feather,31,210
pyw,31,87
graphql,31,556
nav,31,60
sas7bdat,31,427
final,31,376
exr,31,118
keras,31,143
commit,31,4880
mexw32,31,320
mlmodel,30,87
img,30,122
epw,30,89
gtf,30,85
kts,30,319
pfx,30,143
p12,30,46
osm,30,122
appxmanifest,30,190
cur,30,82
apple,30,121
bcf,30,46
sch,29,92
unused,29,31
closure-compiler,29,67
04-manylinux2010,29,97
idb,29,125
custom_op_ubuntu_16,29,31
snm,29,48
pi-python37,29,31
back,29,40
param,29,347
ubuntu,29,71
custom_op_gpu,29,31
rdx,29,118
gwsq,29,62
after,29,32
before,29,34
ijm,29,233
mdown,29,36
golden_summary,29,90
hlotxt,29,265
esprima,29,67
gmt,28,82
prefs,28,33
thrift,28,346
gpkg,28,99
weight,28,50
13,28,204
20,28,214
dataset,28,87
bluepill,28,29
tbi,28,604
la,28,177
metadata,28,188
sas,28,231
pid,28,40
sd,28,68
par,28,662
tpfp,27,29
st,27,17187
fla,27,415
sha1,27,376
sl,27,3036
mpi,27,29
pod,27,1369
script,27,83
las,27,2508
feat,27,139
copycomplete,27,130
traineddata,27,82
svelte,27,597
tfvars,27,56
table,27,841
16,27,187
xd,27,40
m4v,27,71
pmml,26,132
aix,26,27
arpa,26,86
dwlt,26,52
py#,26,41
rockspec,26,26
bsp,26,36
datasourceregister,26,26
cmakein,26,62
sh~,26,44
prof,26,87
es,26,54
pas,26,296
fna,26,113
entitlements,26,49
cuda-clang,26,27
xdy,25,95
cjs,25,171
material,25,1534
content,25,33
ind,25,37
pegjs,25,35
tests,25,48
th,25,369
elf,25,318
qm,25,2436
freebsd,25,34
whitelist,25,34
txt-not-supported-yet,25,25
14,25,205
stp,25,88
nsi,25,51
colors,25,33
9may2018,25,25
gb,25,4570
ilk,25,91
ows,25,183
fr,25,49
jupyter,25,42
mdj,25,49
jq,25,27
pom,25,122
as,25,641
xpi,25,52
pip,25,44
cat,24,1323
dex,24,4841
py_tf,24,72
epub,24,86
file,24,50
seq,24,279
15,24,188
a99,24,50
custom,24,24
b99,24,50
18,24,177
pbfilespec,24,27
reg,24,106
hcl,24,166
tgt,24,33
xhtml,24,121
lm,24,110
solaris,24,37
sc,24,321
xpm,24,786
mkd,24,61
nogit,24,24
zh,24,39
client,24,32
lp,24,91
001,24,58
aiml,23,851
tag,23,141
mac,23,5506
gen,23,46
defaults,23,41
lab,23,5584
afdesign,23,140
rake,23,215
sgf,23,279
edf,23,1620
mexglx,23,332
pcd,23,130
v1,23,115
midi,23,9262
ent,23,657
bk,23,85
emb,23,52
original,23,35
result,23,212
gpu_clang,23,23
pgf,23,578
ascii,23,76
custom_op,23,24
dbc,23,311
jks,22,67
mol2,22,1566
nl,22,41
action,22,50
lyx,22,53
scp,22,1027
textproto,22,168
inference,22,25
applescript,22,25
eml,22,29196
uss,22,299
svm,22,41
psm1,22,90
pbm,22,180
nf,22,449
ilg,22,23
tfrecord-00000-of-00001,22,51
base64,22,28
prop,22,561
skp,22,57
sed,22,65
b,22,56
sublime-workspace,22,25
bpe,22,34
edges,22,403
all,22,62
smk,22,225
cql,22,71
cgi,22,51
pck,22,3997
stackdump,22,24
preset,22,33
jj,21,22
emf,21,49
projbuild,21,21
17,21,162
war,21,42
ex,21,197
gff,21,123
gpickle,21,1104
fif,21,610
query,21,58
cdf,21,53
common,21,305
25,21,145
docker,21,49
hmm,21,1322
21,21,157
ctl,21,264
ttt,21,167
m~,21,96
trec,21,22
prl,21,204
obo,21,37
rsp,21,1411
run,21,213
tbl,20,115
unitypackage,20,38
hyper,20,41
gp,20,210
icc,20,64
xlf,20,169
mem,20,47
ndjson,20,628
nwk,20,147
dxf,20,96
gson,20,39
19,20,213
glb,20,524
26,20,137
gephi,20,41
sk,20,34
dirs,20,107
annot,20,121
masked,20,21
camproj,20,28
ppk,20,25
wad,20,145
layout,20,254
cites,20,26
pin,20,76
stderr,20,2003
gperf,19,33
wmf,19,166
fontified,19,22
xclangspec,19,22
vb,19,414
watchr,19,29
header,19,207
sparql,19,92
ijmap,19,32
hu,19,21
fi,19,26
proto3,19,30
options,19,90
tagger,19,78
is,19,21
html~,19,32
it,19,21
scm,19,372
mol,19,2286
fzz,19,32
sct,19,461
documentation,19,20
opencl,19,161
redis,19,19
solution,19,867
cloc,19,30
xpt,19,87
ci,19,31
dirlock,19,214
arm32v7,18,28
jmx,18,73
bullet,18,114
big,18,23
32,18,98
ca,18,21
cython,18,18
x86_64,18,33
faa,18,72
vi,18,1678
server,18,18
22,18,153
sam,18,150
texi,18,67
cabal,18,57
23,18,131
te,18,18
include,18,158
kotlin_module,18,72
eval,18,1265
ci_gpu,18,22
uml,18,45
seg,18,63
wmv,18,144
pdn,18,81
gbk,18,2112
mockmaker,17,35
groupproj,17,24
pipeline,17,267
fio,17,251
aln,17,38
do,17,327
nginx,17,36
slx,17,53
cpt,17,90
asp,17,83
fmpp,17,17
postinst,17,159
unix,17,47
results,17,82
proj,17,38
top,17,212
error,17,31
gold_conll,17,5848
pp,17,118
edu,17,115
24,17,145
gitignore,17,26
form,17,121
003,17,35
gdb,17,27
002,17,41
fst,17,438
root,17,196
macbook-pro,17,102
valid,17,27
gpg,17,24
mpg,17,43
gs,17,84
vsd,17,228
handlebars,17,50
plt,17,157
ci_cpu,17,21
cwl,17,285
theme,17,50
29,17,108
crx,17,31
app,17,50
todo,17,21
nt,17,50
xtc,17,64
sha256,17,43
win32,17,26
gld,17,51
man,17,88
api,17,56
gro,17,84
comp,16,171
mar,16,25
tfr,16,21
mesh,16,289
bad,16,55
bc,16,105
ci_lint,16,19
deps,16,112
aff,16,27
fas,16,14580
fuck,16,16
prerm,16,137
rpt,16,425
dms,16,24
postrm,16,24
fc,16,16
rpm,16,33
pfm,16,190
q,16,151
gazebo,16,29
ibd,16,179
one,16,31
runname,16,479
reflecthelperstest$fakeservice,16,16
ics,16,34
rsl,16,22
clf,16,36
hiredis,16,16
mexmaci,16,242
28,16,126
soft,16,54
arrow,16,43
develop,16,46
30,16,131
bar,16,18
depend,16,76
utf8,15,67
con,15,60
h5f,15,82
id,15,37
cbproj,15,57
pd,15,128
dtx,15,30
rsl-old,15,21
if,15,15
jbuilder,15,123
lprof,15,31
rsl-new,15,21
lintian-overrides,15,15
trees,15,26
segments,15,59
interp,15,67
dds,15,276
exs,15,123
latex,15,24
asd,15,101
vs,15,145
ro,15,16
ins,15,20
binaryproto,15,32
tune_metadata,15,187
der,15,187
ijg,15,15
ilmbase,15,27
lv,15,16
heic,15,25
textclipping,15,16
openexr,15,27
maxpat,15,203
textile,15,21
expect,15,78
libsvm,15,125
web,15,47
27,15,114
pyf,15,43
bw,15,56
0000,15,58
e,15,132
bag,15,239
jobclient,15,15
spdlog,15,15
stdout,15,1575
catalog,15,23
rq,15,174
step,14,100
lcf,14,42
bas,14,47
val,14,67
bim,14,141
iob,14,460
50,14,84
resources,14,153
dbx,14,20
ipy,14,95
jsonc,14,203
100,14,60
vsprops,14,35
subword_vocab,14,14
pk1,14,53
cpickle,14,19
cp,14,27
packer-template,14,24
full,14,15
ci_i386,14,16
ogv,14,39
conda_cuda100,14,16
demo_gpu,14,16
conda_cuda90,14,16
ci_wasm,14,16
ci_jekyll,14,16
sys,14,62
lo,14,3454
demo_cpu,14,16
mdp,14,89
pytxt,14,2688
demo_android,14,16
vm,14,267
demo_vitis_ai,14,16
conda_cpu,14,16
ci_qemu,14,16
demo_opencl,14,16
dct,14,17
ci_arm,14,16
rly,14,64
pytorch,14,40
amd64,14,39
ta,14,15
maintscript,14,14
crushmap,14,126
pre-install,14,14
ffsb,14,14
tikz,14,102
str,14,366
jshintrc,14,15
twoosds,14,14
ceph,14,14
jlibs,14,14
withracks,14,14
srdf,14,33
vcxitems,14,15
kenlm_intermediate,14,34
gold_skel,14,5743
w2v,14,18
five,14,14
crush,14,42
four,14,14
reweighted,14,14
three,14,28
multitree,14,14
blend1,14,27
two,14,28
std,14,62
aif,14,54
traj,14,152
bkp,14,2635
elm,14,153
svmlight,14,14
cer,14,42
sumocfg,14,94
notes,14,25
686,14,20
project,14,183
fam,13,140
60,13,59
prototext,13,671
matlab,13,21
35,13,87
buildreport,13,14
rgb,13,487
frm,13,526
textgrid,13,13385
pdf_tex,13,84
current,13,15
skip,13,16
lck,13,51
csv~,13,23
34,13,91
jsproj,13,13
fq,13,41
prolog,13,40
sizes,13,32
overlay,13,425
doxy,13,35
srl,13,30
svgz,13,1155
ser,13,66
dts,13,3487
jpg_1088wx1632h,13,13
vhd,13,1250
fxml,13,96
cmp,13,246
meta4,13,14
stm32f4,13,13
sdb,13,74
brd,13,433
cg,13,555
tc,13,146
wpr,13,27
xes,13,338
cuda,13,14
loaded_0,13,37
sqbpro,13,14
vc,13,52
idx3-ubyte,13,22
mallet,13,19
binary,13,14
demo_rocm,13,15
version,13,56
bats,13,101
cbx,13,19
bbx,13,19
sidx,13,52
scaler,13,45
sf2,13,15
yy,13,20
mps,13,88
sgml,13,35
js_t,13,33
52,13,63
fit,13,122
pubxml,13,26
ptx,13,29
libyaml,13,25
apt,13,43
tt,13,226
jpg_large,12,13
torch,12,37
bdf,12,55
access,12,25
sgi,12,18
mrc,12,53
logs,12,25
pri,12,582
dlc,12,27
icf,12,21045
doxygen,12,19
gnuplot,12,22
ga,12,13
plot,12,38
b64,12,13
